order_id,order_date,ship_date,customer_id,product_id,sales,quantity,profit,discount
CA-2025-152156,2025-11-08,2025-11-11,CG-12520,FUR-BO-10001798,261.96,2,41.9136,0.0
CA-2025-152156,2025-11-08,2025-11-11,CG-12520,FUR-CH-10000454,731.94,3,219.582,0.0
CA-2025-138688,2025-06-12,2025-06-16,DV-13045,OFF-LA-10000240,14.62,2,6.8714,0.0
US-2023-108966,2023-10-11,2023-10-18,SO-20335,FUR-TA-10000577,957.5775,5,-383.031,0.45
US-2023-108966,2023-10-11,2023-10-18,SO-20335,OFF-ST-10000760,22.368,2,2.5164,0.2
CA-2022-115812,2022-06-09,2022-06-14,BH-11710,FUR-FU-10001487,48.86,7,14.1694,0.0
CA-2022-115812,2022-06-09,2022-06-14,BH-11710,OFF-AR-10002833,7.28,4,1.9656,0.0
CA-2022-115812,2022-06-09,2022-06-14,BH-11710,TEC-PH-10002275,907.152,6,90.7152,0.2
CA-2022-115812,2022-06-09,2022-06-14,BH-11710,OFF-BI-10003910,18.504,3,5.7825,0.2
CA-2022-115812,2022-06-09,2022-06-14,BH-11710,OFF-AP-10002892,114.9,5,34.47,0.0
CA-2022-115812,2022-06-09,2022-06-14,BH-11710,FUR-TA-10001539,1706.184,9,85.3092,0.2
CA-2022-115812,2022-06-09,2022-06-14,BH-11710,TEC-PH-10002033,911.424,4,68.3568,0.2
CA-2024-114412,2024-04-15,2024-04-20,AA-10480,OFF-PA-10002365,15.552,3,5.4432,0.2
CA-2025-161389,2025-12-05,2025-12-10,IM-15070,OFF-BI-10003656,407.976,3,132.5922,0.2
US-2023-118983,2023-11-22,2023-11-26,HP-14815,OFF-AP-10002311,68.81,5,-123.858,0.8
US-2023-118983,2023-11-22,2023-11-26,HP-14815,OFF-BI-10000756,2.544,3,-3.816,0.8
CA-2022-105893,2022-11-11,2022-11-18,PK-19075,OFF-ST-10004186,665.88,6,13.3176,0.0
CA-2022-167164,2022-05-13,2022-05-15,AG-10270,OFF-ST-10000107,55.5,2,9.99,0.0
CA-2022-143336,2022-08-27,2022-09-01,ZD-21925,OFF-AR-10003056,8.56,2,2.4824,0.0
CA-2022-143336,2022-08-27,2022-09-01,ZD-21925,TEC-PH-10001949,213.48,3,16.011,0.2
CA-2022-143336,2022-08-27,2022-09-01,ZD-21925,OFF-BI-10002215,22.72,4,7.384,0.2
CA-2025-137330,2025-12-09,2025-12-13,KB-16585,OFF-AR-10000246,19.46,7,5.0596,0.0
CA-2025-137330,2025-12-09,2025-12-13,KB-16585,OFF-AP-10001492,60.34,7,15.6884,0.0
US-2024-156909,2024-07-16,2024-07-18,SF-20065,FUR-CH-10002774,71.372,2,-1.0196,0.3
CA-2023-106320,2023-09-25,2023-09-30,EB-13870,FUR-TA-10000577,1044.63,3,240.2649,0.0
CA-2025-121755,2025-01-16,2025-01-20,EH-13945,OFF-BI-10001634,11.648,2,4.2224,0.2
CA-2025-121755,2025-01-16,2025-01-20,EH-13945,TEC-AC-10003027,90.57,3,11.7741,0.0
US-2023-150630,2023-09-17,2023-09-21,TB-21520,FUR-BO-10004834,3083.43,7,-1665.0522,0.5
US-2023-150630,2023-09-17,2023-09-21,TB-21520,OFF-BI-10000474,9.618,2,-7.0532,0.7
US-2023-150630,2023-09-17,2023-09-21,TB-21520,FUR-FU-10004848,124.2,3,15.525,0.2
US-2023-150630,2023-09-17,2023-09-21,TB-21520,OFF-EN-10001509,3.264,2,1.1016,0.2
US-2023-150630,2023-09-17,2023-09-21,TB-21520,OFF-AR-10004042,86.304,6,9.7092,0.2
US-2023-150630,2023-09-17,2023-09-21,TB-21520,OFF-BI-10001525,6.858,6,-5.715,0.7
US-2023-150630,2023-09-17,2023-09-21,TB-21520,OFF-AR-10001683,15.76,2,3.546,0.2
CA-2024-107727,2024-10-19,2024-10-23,MA-17560,OFF-PA-10000249,29.472,3,9.9468,0.2
CA-2025-117590,2025-12-08,2025-12-10,GH-14485,TEC-PH-10004977,1097.544,7,123.4737,0.2
CA-2025-117590,2025-12-08,2025-12-10,GH-14485,FUR-FU-10003664,190.92,5,-147.963,0.6
CA-2023-117415,2023-12-27,2023-12-31,SN-20710,OFF-EN-10002986,113.328,9,35.415,0.2
CA-2023-117415,2023-12-27,2023-12-31,SN-20710,FUR-BO-10002545,532.3992,3,-46.9764,0.32
CA-2023-117415,2023-12-27,2023-12-31,SN-20710,FUR-CH-10004218,212.058,3,-15.147,0.3
CA-2023-117415,2023-12-27,2023-12-31,SN-20710,TEC-PH-10000486,371.168,4,41.7564,0.2
CA-2024-120999,2024-09-10,2024-09-15,LC-16930,TEC-PH-10004093,147.168,4,16.5564,0.2
CA-2025-101343,2025-07-17,2025-07-22,RA-19885,OFF-ST-10003479,77.88,2,3.894,0.0
CA-2024-139619,2024-09-19,2024-09-23,ES-14080,OFF-ST-10003282,95.616,2,9.5616,0.2
CA-2025-118255,2025-03-11,2025-03-13,ON-18715,TEC-AC-10000171,45.98,2,19.7714,0.0
CA-2025-118255,2025-03-11,2025-03-13,ON-18715,OFF-BI-10003291,17.46,2,8.2062,0.0
CA-2022-146703,2022-10-20,2022-10-25,PO-18865,OFF-ST-10001713,211.96,4,8.4784,0.0
CA-2025-169194,2025-06-20,2025-06-25,LH-16900,TEC-AC-10002167,45.0,3,4.95,0.0
CA-2025-169194,2025-06-20,2025-06-25,LH-16900,TEC-PH-10003988,21.8,2,6.104,0.0
CA-2023-115742,2023-04-18,2023-04-22,DP-13000,OFF-BI-10004410,38.22,6,17.9634,0.0
CA-2023-115742,2023-04-18,2023-04-22,DP-13000,OFF-LA-10002762,75.18,6,35.3346,0.0
CA-2023-115742,2023-04-18,2023-04-22,DP-13000,FUR-FU-10001706,6.16,2,2.9568,0.0
CA-2023-115742,2023-04-18,2023-04-22,DP-13000,FUR-CH-10003061,89.99,1,17.0981,0.0
CA-2025-105816,2025-12-11,2025-12-17,JM-15265,OFF-FA-10000304,15.26,7,6.2566,0.0
CA-2025-105816,2025-12-11,2025-12-17,JM-15265,TEC-PH-10002447,1029.95,5,298.6855,0.0
CA-2025-111682,2025-06-17,2025-06-18,TB-21055,OFF-ST-10000604,208.56,6,52.14,0.0
CA-2025-111682,2025-06-17,2025-06-18,TB-21055,OFF-PA-10001569,32.4,5,15.552,0.0
CA-2025-111682,2025-06-17,2025-06-18,TB-21055,FUR-CH-10003968,319.41,5,7.098,0.1
CA-2025-111682,2025-06-17,2025-06-18,TB-21055,OFF-PA-10000587,14.56,2,6.9888,0.0
CA-2025-111682,2025-06-17,2025-06-18,TB-21055,TEC-AC-10002167,30.0,2,3.3,0.0
CA-2025-111682,2025-06-17,2025-06-18,TB-21055,OFF-BI-10001460,48.48,4,16.362,0.2
CA-2025-111682,2025-06-17,2025-06-18,TB-21055,OFF-AR-10001868,1.68,1,0.84,0.0
CA-2023-135545,2023-11-24,2023-11-30,KM-16720,TEC-AC-10004633,13.98,2,6.1512,0.0
CA-2023-135545,2023-11-24,2023-11-30,KM-16720,OFF-BI-10001078,25.824,6,9.3612,0.2
CA-2023-135545,2023-11-24,2023-11-30,KM-16720,OFF-PA-10003892,146.73,3,68.9631,0.0
